Image Index,X patch,Y patch," Patch Size",Upper bound,MIDDLE BOUND," Run Time (s)",Second Run Time (s),Status,Used Only MILP," Comment",Log path,CSV path
2,0,0,10,0.65,,313,,Verified,True,"without patch pixel binary constraints. single range [0,0.65]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_092644_eran_run.log
2,0,0,10,0.65,0.3,348,257,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_091958_eran_run.log
2,0,0,10,0.65,0.6,256,,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_093320_eran_run.log
2,0,0,10,0.65,0.05,280,,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_093953_eran_run.log,
2,0,0,10,0.65,0.64,256,,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_094530_eran_run.log
2,0,0,10,0.7,,1210,,Verified,True,"without patch pixel binary constraints. single range [0,0.7]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_100426_eran_run.log
2,0,0,10,0.7,0.6,3424,,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_102511_eran_run.log
2,0,0,10,0.7,0.65,3600,,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_114258_eran_run.log
2,0,0,10,0.7,0.35,2812,3622,Verified,True,with patch pixel binary constraints,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_125110_eran_run.log
2,0,0,10,0.7,0.35,1610,1608,Verified,True,same as previous run but stopped background run which was using 8 threads,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_154612_eran_run.log
2,0,0,10,0.7,,528,,Verified,True,ran without processes in the background,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260110/20260110_180513_eran_run.log
2,0,0,10,0.65,,82,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_193049_eran_run.log,
2,0,0,10,0.65,0.3,93,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_193211_eran_run.log,
2,0,0,10,0.65,0.6,88,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_193344_eran_run.log,
2,0,0,10,0.65,0.05,81,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_193511_eran_run.log,
2,0,0,10,0.65,0.64,90,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_193632_eran_run.log,
2,0,0,10,0.7,,528,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_193802_eran_run.log,
2,0,0,10,0.7,0.6,1674,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_194650_eran_run.log,
2,0,0,10,0.7,0.65,2188,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_201444_eran_run.log,
2,0,0,10,0.7,0.35,1602,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_205111_eran_run.log,
2,0,0,10,0.75,,6469,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_211754_eran_run.log,
2,0,0,10,0.75,0.7,17363,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260111/20260111_230543_eran_run.log,
2,0,0,10,0.75,0.55,6270,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260112/20260112_035506_eran_run.log,
2,0,0,10,0.75,0.35,4605,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260112/20260112_053936_eran_run.log,
2,0,0,10,0.8,,15764,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260112/20260112_065621_eran_run.log,
2,0,0,10,0.8,0.75,61084,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260112/20260112_111904_eran_run.log,
2,0,0,10,0.8,0.5,28940,,Verified,True,Ran from run_multiple_till_sol.py,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260113/20260113_041708_eran_run.log,
